id_envio,fecha_despacho,ciudad_origen,ciudad_destino,transportista,tipo_carga,peso_kg,distancia_km,costo_envio_cop,tiempo_entrega_dias,tiempo_estimado_dias,estado,calificacion_cliente,incidentes,mes,retraso_dias
ENV-1000,2024-11-23,Barranquilla,Pasto,LogiCol Ltda.,Seca,1307.15,394,777000.0,11,10,Retrasado,2.3,0,November,1
ENV-1001,2024-02-27,Cartagena,Villavicencio,TransCargo S.A.,General,2271.67,956,1568000.0,8,7,Entregado,3.4,2,February,1
ENV-1002,2024-01-13,Cali,Montería,LogiCol Ltda.,Peligrosa,171.26,1392,2287000.0,2,7,Cancelado,2.7,0,January,0
ENV-1003,2024-05-20,Cartagena,Sincelejo,LogiCol Ltda.,General,1406.02,741,417000.0,12,7,Entregado,4.9,0,May,5
ENV-1004,2024-05-05,Cartagena,Neiva,Rápido Nacional,Frágil,2061.92,356,324000.0,13,8,Retrasado,1.6,0,May,5
ENV-1005,2024-04-24,Medellín,Bucaramanga,LogiCol Ltda.,Refrigerada,3017.88,703,700000.0,9,1,Entregado,2.9,1,April,8
ENV-1006,2024-03-12,Cali,Manizales,LogiCol Ltda.,General,1362.08,595,1837000.0,5,4,En tránsito,3.7,0,March,1
ENV-1007,2024-02-22,Cali,Valledupar,Rápido Nacional,General,674.59,922,1515000.0,7,6,Entregado,2.6,1,February,1
ENV-1008,2024-12-12,Cali,Montería,LogiCol Ltda.,Refrigerada,390.24,429,327000.0,10,9,Retrasado,4.9,2,December,1
ENV-1009,2024-10-06,Cartagena,Villavicencio,LogiCol Ltda.,Frágil,4703.25,902,2303000.0,13,2,En tránsito,3.9,0,October,11
ENV-1010,2024-02-14,Barranquilla,Montería,LogiCol Ltda.,Seca,2089.03,1240,1992000.0,1,1,En tránsito,3.6,0,February,0
ENV-1011,2024-10-29,Cali,Sincelejo,TransCargo S.A.,General,2910.0,838,136000.0,10,10,Retrasado,4.0,0,October,0
ENV-1012,2024-08-04,Cartagena,Ibagué,TransCargo S.A.,Refrigerada,4596.69,978,1656000.0,5,2,Entregado,4.8,0,August,3
ENV-1013,2024-01-17,Medellín,Bucaramanga,TransCargo S.A.,Peligrosa,422.91,322,1946000.0,12,7,Entregado,4.6,0,January,5
ENV-1014,2024-01-16,Barranquilla,Bucaramanga,Rápido Nacional,Refrigerada,4384.54,622,986000.0,14,3,En tránsito,3.9,0,January,11
ENV-1015,2024-02-17,Medellín,Valledupar,CargaSegura,Peligrosa,2762.42,1143,247000.0,10,10,Cancelado,4.0,2,February,0
ENV-1016,2024-04-21,Barranquilla,Ibagué,LogiCol Ltda.,Frágil,832.52,308,267000.0,14,2,En tránsito,1.6,0,April,12
ENV-1017,2024-04-29,Cartagena,Pasto,LogiCol Ltda.,Seca,2062.16,627,332000.0,2,11,Entregado,1.4,0,April,0
ENV-1018,2024-09-15,Bogotá,Pereira,Rápido Nacional,Refrigerada,3890.24,999,2114000.0,12,7,Entregado,3.3,0,September,5
ENV-1019,2024-11-04,Barranquilla,Manizales,LogiCol Ltda.,General,2407.05,1326,2284000.0,6,2,Entregado,1.1,1,November,4
ENV-1020,2024-01-14,Medellín,Bucaramanga,TransCargo S.A.,Frágil,4926.58,85,377000.0,11,3,Cancelado,2.9,1,January,8
ENV-1021,2024-10-14,Cartagena,Neiva,CargaSegura,Refrigerada,1889.93,547,651000.0,1,11,En tránsito,1.8,2,October,0
ENV-1022,2024-04-11,Barranquilla,Bucaramanga,FlexiLog,General,3750.4,154,481000.0,3,7,Entregado,2.4,1,April,0
ENV-1023,2024-11-28,Bogotá,Montería,LogiCol Ltda.,Refrigerada,1971.02,83,531000.0,5,4,Entregado,4.1,0,November,1
ENV-1024,2024-12-25,Bogotá,Bucaramanga,TransCargo S.A.,Peligrosa,4147.53,725,2107000.0,4,1,Retrasado,4.8,0,December,3
ENV-1025,2024-10-06,Cali,Bucaramanga,FlexiLog,Refrigerada,2849.72,197,884000.0,3,5,Entregado,1.3,1,October,0
ENV-1026,2024-08-02,Cali,Pereira,CargaSegura,Refrigerada,326.92,960,834000.0,10,9,Entregado,3.1,0,August,1
ENV-1027,2024-04-22,Medellín,Pereira,FlexiLog,Refrigerada,193.74,583,630000.0,13,8,Entregado,4.5,2,April,5
ENV-1028,2024-08-17,Barranquilla,Villavicencio,TransCargo S.A.,Frágil,677.92,1026,1551000.0,5,9,En tránsito,1.3,0,August,0
ENV-1029,2024-10-28,Barranquilla,Pasto,FlexiLog,Refrigerada,78.22,653,998000.0,11,10,Cancelado,4.3,2,October,1
ENV-1030,2024-05-22,Cali,Neiva,Rápido Nacional,General,386.04,273,1881000.0,8,9,Entregado,2.4,2,May,0
ENV-1031,2024-01-04,Barranquilla,Bucaramanga,FlexiLog,Peligrosa,3461.65,926,578000.0,11,7,Retrasado,2.3,0,January,4
ENV-1032,2024-03-22,Barranquilla,Bucaramanga,LogiCol Ltda.,Peligrosa,2676.39,794,1986000.0,4,4,Entregado,4.9,0,March,0
ENV-1033,2024-12-23,Bogotá,Manizales,LogiCol Ltda.,Refrigerada,3752.05,1129,1541000.0,1,5,Retrasado,1.8,0,December,0
ENV-1034,2024-08-04,Cali,Pereira,Rápido Nacional,Frágil,4566.7,252,357000.0,11,1,Entregado,3.8,0,August,10
ENV-1035,2024-06-23,Cartagena,Neiva,TransCargo S.A.,Frágil,2929.9,405,1083000.0,7,1,En tránsito,4.3,0,June,6
ENV-1036,2024-05-22,Cali,Valledupar,LogiCol Ltda.,General,3633.34,1221,2170000.0,8,3,Entregado,1.2,0,May,5
ENV-1037,2024-03-20,Cartagena,Villavicencio,CargaSegura,Refrigerada,3787.84,915,2314000.0,3,8,En tránsito,3.7,0,March,0
ENV-1038,2024-04-20,Bogotá,Pasto,LogiCol Ltda.,Peligrosa,1895.47,803,1207000.0,6,2,Cancelado,4.8,0,April,4
ENV-1039,2024-06-21,Medellín,Ibagué,LogiCol Ltda.,Frágil,1213.01,304,1244000.0,2,4,Cancelado,1.5,0,June,0
ENV-1040,2024-02-22,Barranquilla,Pasto,TransCargo S.A.,Refrigerada,1033.18,611,2303000.0,7,2,Entregado,4.6,0,February,5
ENV-1041,2024-02-17,Bogotá,Montería,FlexiLog,Frágil,1264.7,192,1501000.0,8,5,Entregado,3.4,1,February,3
ENV-1042,2024-07-13,Barranquilla,Bucaramanga,LogiCol Ltda.,Frágil,1380.91,219,159000.0,6,9,Entregado,3.5,0,July,0
ENV-1043,2024-02-19,Medellín,Villavicencio,Rápido Nacional,Peligrosa,1044.07,638,2289000.0,6,1,Entregado,3.5,0,February,5
ENV-1044,2024-07-02,Medellín,Montería,FlexiLog,Seca,4392.32,80,681000.0,5,5,Cancelado,2.2,1,July,0
ENV-1045,2024-06-25,Bogotá,Neiva,CargaSegura,General,3787.43,169,1478000.0,8,9,Cancelado,4.7,0,June,0
ENV-1046,2024-11-05,Medellín,Ibagué,TransCargo S.A.,General,244.01,733,481000.0,1,1,Cancelado,4.8,0,November,0
ENV-1047,2024-05-15,Cartagena,Pereira,CargaSegura,Peligrosa,1350.68,399,162000.0,10,9,En tránsito,3.5,0,May,1
ENV-1048,2024-01-23,Medellín,Villavicencio,FlexiLog,Frágil,120.7,218,834000.0,4,8,Cancelado,4.1,2,January,0
ENV-1049,2024-08-23,Barranquilla,Villavicencio,FlexiLog,Refrigerada,2495.84,924,1969000.0,4,4,Retrasado,3.4,2,August,0
ENV-1050,2024-10-01,Barranquilla,Bucaramanga,FlexiLog,Frágil,2386.29,338,752000.0,3,11,Entregado,2.9,0,October,0
ENV-1051,2024-03-04,Barranquilla,Sincelejo,CargaSegura,Peligrosa,4158.54,981,613000.0,3,10,Cancelado,3.6,0,March,0
ENV-1052,2024-07-12,Barranquilla,Villavicencio,FlexiLog,General,1545.81,769,595000.0,4,5,Entregado,3.2,1,July,0
ENV-1053,2024-02-10,Cartagena,Manizales,CargaSegura,Frágil,4083.76,89,1327000.0,11,5,Entregado,3.4,0,February,6
ENV-1054,2024-10-09,Cali,Ibagué,FlexiLog,General,4840.19,340,2441000.0,1,11,En tránsito,4.1,0,October,0
ENV-1055,2024-05-30,Bogotá,Ibagué,Rápido Nacional,Refrigerada,451.16,251,1191000.0,14,6,Entregado,2.9,0,May,8
ENV-1056,2024-11-17,Barranquilla,Manizales,FlexiLog,General,3961.17,977,1429000.0,11,7,Entregado,1.2,0,November,4
ENV-1057,2024-11-12,Medellín,Valledupar,CargaSegura,General,2953.88,92,2163000.0,13,8,Entregado,1.7,0,November,5
ENV-1058,2024-07-04,Barranquilla,Manizales,LogiCol Ltda.,Seca,2405.43,1271,1375000.0,11,8,En tránsito,2.8,0,July,3
ENV-1059,2024-10-22,Medellín,Manizales,FlexiLog,Seca,2108.47,400,526000.0,2,11,Retrasado,3.9,2,October,0
ENV-1060,2024-04-08,Medellín,Ibagué,LogiCol Ltda.,Seca,3925.49,408,805000.0,9,2,En tránsito,3.4,0,April,7
ENV-1061,2024-12-26,Barranquilla,Pasto,Rápido Nacional,General,3200.41,864,830000.0,10,9,En tránsito,3.6,2,December,1
ENV-1062,2024-02-05,Cartagena,Ibagué,TransCargo S.A.,Peligrosa,4027.17,856,1042000.0,2,7,Entregado,2.9,2,February,0
ENV-1063,2024-01-24,Medellín,Sincelejo,Rápido Nacional,General,4516.72,990,1113000.0,5,4,Entregado,3.5,0,January,1
ENV-1064,2024-12-04,Medellín,Bucaramanga,FlexiLog,Peligrosa,3090.15,1198,2015000.0,9,4,Cancelado,2.3,0,December,5
ENV-1065,2024-04-26,Barranquilla,Montería,LogiCol Ltda.,Peligrosa,4902.51,397,926000.0,9,11,Cancelado,2.9,1,April,0
ENV-1066,2024-05-28,Medellín,Pasto,LogiCol Ltda.,Seca,3044.36,315,1213000.0,8,8,Retrasado,4.0,0,May,0
ENV-1067,2024-02-10,Medellín,Pereira,CargaSegura,Frágil,3186.86,413,1592000.0,1,4,Retrasado,4.5,2,February,0
ENV-1068,2024-04-29,Barranquilla,Montería,LogiCol Ltda.,Refrigerada,2778.53,455,994000.0,1,6,Cancelado,2.7,1,April,0
ENV-1069,2024-02-21,Barranquilla,Bucaramanga,CargaSegura,Seca,464.1,1240,2104000.0,9,5,Entregado,1.2,0,February,4
ENV-1070,2024-07-13,Bogotá,Sincelejo,TransCargo S.A.,Seca,3634.72,667,1502000.0,13,3,Cancelado,1.6,0,July,10
ENV-1071,2024-05-22,Cartagena,Sincelejo,FlexiLog,Frágil,2741.76,592,792000.0,11,10,Entregado,1.1,0,May,1
ENV-1072,2024-08-20,Cartagena,Pereira,CargaSegura,Refrigerada,2260.04,1399,1808000.0,8,11,Retrasado,3.6,2,August,0
ENV-1073,2024-11-21,Medellín,Pasto,TransCargo S.A.,General,4553.25,997,1357000.0,10,2,Entregado,2.3,0,November,8
ENV-1074,2024-07-05,Cartagena,Valledupar,LogiCol Ltda.,General,1496.82,952,1373000.0,9,9,Entregado,3.2,0,July,0
ENV-1075,2024-03-24,Medellín,Manizales,LogiCol Ltda.,Seca,2622.78,1332,1244000.0,7,10,Retrasado,3.0,2,March,0
ENV-1076,2024-07-08,Bogotá,Pasto,TransCargo S.A.,Refrigerada,3491.23,349,1283000.0,3,9,Retrasado,1.3,0,July,0
ENV-1077,2024-06-30,Barranquilla,Valledupar,LogiCol Ltda.,Seca,3984.39,877,1932000.0,3,1,En tránsito,2.6,0,June,2
ENV-1078,2024-04-17,Barranquilla,Sincelejo,TransCargo S.A.,Peligrosa,2302.14,1394,329000.0,2,10,En tránsito,1.9,0,April,0
ENV-1079,2024-12-09,Barranquilla,Ibagué,CargaSegura,Seca,4212.04,804,889000.0,5,3,En tránsito,2.7,2,December,2
ENV-1080,2024-05-16,Cartagena,Bucaramanga,CargaSegura,Seca,3846.9,1268,263000.0,12,8,Entregado,1.8,0,May,4
ENV-1081,2024-12-25,Bogotá,Pereira,TransCargo S.A.,General,340.52,84,1903000.0,12,6,En tránsito,4.4,1,December,6
ENV-1082,2024-12-15,Cartagena,Bucaramanga,CargaSegura,General,238.85,930,739000.0,3,5,Entregado,1.7,0,December,0
ENV-1083,2024-11-27,Cartagena,Neiva,CargaSegura,General,3107.82,157,2252000.0,14,5,Cancelado,4.8,2,November,9
ENV-1084,2024-02-06,Bogotá,Neiva,CargaSegura,Peligrosa,1743.59,653,1354000.0,6,6,Entregado,2.7,0,February,0
ENV-1085,2024-11-07,Bogotá,Pasto,Rápido Nacional,General,1053.56,211,2018000.0,2,7,Retrasado,4.4,1,November,0
ENV-1086,2024-11-21,Bogotá,Sincelejo,FlexiLog,Refrigerada,2902.45,680,2449000.0,12,1,Entregado,3.5,2,November,11
ENV-1087,2024-03-28,Bogotá,Sincelejo,LogiCol Ltda.,Frágil,1714.4,1145,2112000.0,3,9,Entregado,3.9,0,March,0
ENV-1088,2024-09-30,Barranquilla,Manizales,Rápido Nacional,Refrigerada,2690.94,168,2178000.0,5,3,Entregado,4.1,0,September,2
ENV-1089,2024-05-05,Cali,Manizales,CargaSegura,Refrigerada,2305.99,481,1067000.0,12,4,Entregado,3.0,0,May,8
ENV-1090,2024-03-24,Cali,Manizales,TransCargo S.A.,General,2927.98,375,1415000.0,11,10,Retrasado,3.2,0,March,1
ENV-1091,2024-08-24,Bogotá,Ibagué,CargaSegura,Frágil,2007.5,1398,694000.0,11,1,Cancelado,3.1,0,August,10
ENV-1092,2024-07-13,Cali,Montería,FlexiLog,Frágil,3491.36,695,555000.0,1,11,En tránsito,3.4,1,July,0
ENV-1093,2024-05-18,Cali,Villavicencio,CargaSegura,Frágil,908.54,879,1303000.0,13,10,Entregado,1.1,0,May,3
ENV-1094,2024-11-23,Bogotá,Montería,TransCargo S.A.,Peligrosa,3485.54,501,1520000.0,1,3,Cancelado,2.6,0,November,0
ENV-1095,2024-12-18,Cali,Bucaramanga,FlexiLog,General,2064.19,1126,901000.0,10,2,Entregado,3.4,0,December,8
ENV-1096,2024-10-12,Cartagena,Montería,CargaSegura,Frágil,4372.84,654,1458000.0,9,2,Retrasado,3.4,0,October,7
ENV-1097,2024-04-22,Medellín,Ibagué,FlexiLog,Peligrosa,2581.03,222,2228000.0,7,1,Retrasado,4.2,0,April,6
ENV-1098,2024-12-16,Medellín,Bucaramanga,LogiCol Ltda.,Seca,4865.82,1072,1427000.0,1,8,Retrasado,3.6,0,December,0
ENV-1099,2024-06-15,Bogotá,Montería,LogiCol Ltda.,Seca,3013.66,744,1824000.0,12,3,Entregado,5.0,0,June,9
ENV-1100,2024-01-29,Barranquilla,Ibagué,CargaSegura,Peligrosa,1127.01,224,2029000.0,14,3,Entregado,2.1,2,January,11
ENV-1101,2024-04-27,Bogotá,Villavicencio,FlexiLog,Peligrosa,4110.74,1328,2473000.0,8,6,Cancelado,2.4,0,April,2
ENV-1102,2024-01-17,Barranquilla,Montería,TransCargo S.A.,General,1731.96,1086,1540000.0,3,8,Cancelado,2.5,0,January,0
ENV-1103,2024-06-10,Medellín,Ibagué,CargaSegura,General,1744.62,582,2033000.0,8,9,Entregado,2.9,1,June,0
ENV-1104,2024-07-24,Bogotá,Manizales,LogiCol Ltda.,Seca,168.71,900,2410000.0,5,9,Entregado,4.3,2,July,0
ENV-1105,2024-05-17,Cartagena,Sincelejo,LogiCol Ltda.,Frágil,2748.09,183,2365000.0,1,4,Entregado,1.9,2,May,0
ENV-1106,2024-02-03,Cali,Manizales,CargaSegura,Seca,2676.77,1142,421000.0,7,5,Retrasado,4.1,0,February,2
ENV-1107,2024-04-18,Barranquilla,Sincelejo,FlexiLog,Frágil,1786.4,277,1063000.0,5,2,Cancelado,2.6,0,April,3
ENV-1108,2024-10-17,Cali,Pereira,LogiCol Ltda.,Frágil,4472.14,658,864000.0,6,11,Entregado,3.4,1,October,0
ENV-1109,2024-06-10,Cali,Pereira,FlexiLog,General,652.45,470,290000.0,6,9,Retrasado,3.5,2,June,0
ENV-1110,2024-04-18,Bogotá,Pereira,LogiCol Ltda.,Refrigerada,1657.2,1282,1612000.0,8,8,Entregado,2.5,0,April,0
ENV-1111,2024-12-01,Cali,Villavicencio,LogiCol Ltda.,Refrigerada,1614.7,633,1861000.0,9,3,Entregado,3.1,2,December,6
ENV-1112,2024-09-12,Cartagena,Manizales,Rápido Nacional,Peligrosa,470.53,1118,2132000.0,2,11,Retrasado,2.7,1,September,0
ENV-1113,2024-07-21,Cali,Sincelejo,LogiCol Ltda.,General,2410.92,1392,377000.0,9,9,Retrasado,1.3,1,July,0
ENV-1114,2024-11-25,Bogotá,Ibagué,TransCargo S.A.,Frágil,3442.05,557,2201000.0,12,3,Entregado,2.7,0,November,9
ENV-1115,2024-08-22,Cartagena,Bucaramanga,CargaSegura,Refrigerada,2563.17,1334,1636000.0,11,9,En tránsito,1.4,0,August,2
ENV-1116,2024-03-14,Medellín,Ibagué,CargaSegura,Frágil,793.32,1002,1784000.0,10,2,Cancelado,2.6,1,March,8
ENV-1117,2024-05-15,Cali,Bucaramanga,FlexiLog,Refrigerada,1892.66,499,2284000.0,9,10,Entregado,3.4,0,May,0
ENV-1118,2024-03-12,Bogotá,Neiva,LogiCol Ltda.,Refrigerada,22.95,236,1592000.0,13,9,En tránsito,3.3,0,March,4
ENV-1119,2024-05-06,Medellín,Ibagué,TransCargo S.A.,Refrigerada,4342.82,629,893000.0,10,8,Entregado,3.7,2,May,2
ENV-1120,2024-10-14,Medellín,Montería,FlexiLog,General,431.74,1200,2077000.0,10,9,Retrasado,1.4,2,October,1
ENV-1121,2024-10-02,Barranquilla,Montería,Rápido Nacional,Seca,2990.42,1100,959000.0,7,5,Entregado,3.6,0,October,2
ENV-1122,2024-05-14,Cartagena,Pasto,FlexiLog,Frágil,4931.42,1076,163000.0,1,11,Entregado,2.2,2,May,0
ENV-1123,2024-10-26,Cali,Manizales,FlexiLog,General,2687.59,1030,2090000.0,7,11,Cancelado,2.6,1,October,0
ENV-1124,2024-08-07,Bogotá,Bucaramanga,LogiCol Ltda.,General,4620.97,368,915000.0,10,2,En tránsito,4.4,0,August,8
ENV-1125,2024-10-25,Barranquilla,Bucaramanga,Rápido Nacional,General,1188.22,1357,1953000.0,5,8,Cancelado,1.0,1,October,0
ENV-1126,2024-07-23,Cartagena,Manizales,FlexiLog,General,3802.18,275,958000.0,6,6,Retrasado,3.4,0,July,0
ENV-1127,2024-07-04,Barranquilla,Villavicencio,TransCargo S.A.,General,2661.02,677,2164000.0,10,8,Cancelado,3.4,0,July,2
ENV-1128,2024-04-22,Cartagena,Pasto,TransCargo S.A.,Peligrosa,3605.38,596,611000.0,7,11,Entregado,2.6,1,April,0
ENV-1129,2024-03-11,Cartagena,Villavicencio,CargaSegura,Frágil,321.08,944,2438000.0,14,5,Entregado,1.9,2,March,9
ENV-1130,2024-09-17,Cali,Villavicencio,Rápido Nacional,General,747.22,1221,1967000.0,5,10,Entregado,1.9,2,September,0
ENV-1131,2024-09-09,Cartagena,Villavicencio,Rápido Nacional,Frágil,674.25,885,356000.0,7,2,Entregado,4.5,0,September,5
ENV-1132,2024-02-16,Barranquilla,Manizales,CargaSegura,Peligrosa,3438.96,1262,1449000.0,9,6,Entregado,2.8,0,February,3
ENV-1133,2024-01-25,Cartagena,Villavicencio,FlexiLog,Peligrosa,4223.76,894,2465000.0,3,5,Retrasado,2.3,2,January,0
ENV-1134,2024-02-26,Cali,Montería,Rápido Nacional,Frágil,3750.58,307,1220000.0,8,5,Entregado,2.8,1,February,3
ENV-1135,2024-03-19,Cali,Pereira,TransCargo S.A.,Refrigerada,162.06,295,521000.0,2,1,En tránsito,3.7,2,March,1
ENV-1136,2024-11-17,Barranquilla,Neiva,TransCargo S.A.,Seca,4337.4,1027,1253000.0,11,2,Cancelado,1.6,1,November,9
ENV-1137,2024-03-22,Medellín,Bucaramanga,LogiCol Ltda.,Refrigerada,1777.19,94,1320000.0,7,8,Retrasado,2.8,0,March,0
ENV-1138,2024-12-14,Medellín,Bucaramanga,Rápido Nacional,Refrigerada,1991.85,1260,1875000.0,13,3,Entregado,3.4,2,December,10
ENV-1139,2024-08-04,Cartagena,Neiva,FlexiLog,Refrigerada,533.3,1364,1771000.0,2,10,Cancelado,4.8,1,August,0
ENV-1140,2024-11-01,Bogotá,Manizales,CargaSegura,General,3689.65,1260,1054000.0,14,3,Entregado,2.0,0,November,11
ENV-1141,2024-02-02,Cartagena,Ibagué,CargaSegura,Peligrosa,919.6,126,608000.0,4,8,Cancelado,2.4,0,February,0
ENV-1142,2024-07-16,Barranquilla,Manizales,FlexiLog,Refrigerada,2824.19,403,1641000.0,7,8,En tránsito,2.5,1,July,0
ENV-1143,2024-07-14,Barranquilla,Bucaramanga,LogiCol Ltda.,Peligrosa,4205.14,923,1101000.0,3,2,Retrasado,3.4,0,July,1
ENV-1144,2024-11-01,Barranquilla,Bucaramanga,CargaSegura,Frágil,455.13,209,400000.0,2,8,Cancelado,2.4,0,November,0
ENV-1145,2024-08-27,Barranquilla,Neiva,Rápido Nacional,Seca,2681.32,174,2259000.0,11,11,Entregado,3.1,0,August,0
ENV-1146,2024-09-27,Barranquilla,Villavicencio,LogiCol Ltda.,Frágil,1173.75,706,1753000.0,10,1,Entregado,4.1,2,September,9
ENV-1147,2024-05-08,Cali,Manizales,Rápido Nacional,Frágil,1721.21,834,1733000.0,7,6,Entregado,3.8,1,May,1
ENV-1148,2024-10-10,Medellín,Sincelejo,TransCargo S.A.,General,2375.11,1395,2071000.0,1,8,Entregado,2.8,0,October,0
ENV-1149,2024-01-06,Barranquilla,Neiva,LogiCol Ltda.,Seca,1781.97,873,1362000.0,14,3,Entregado,4.5,0,January,11
ENV-1150,2024-12-14,Bogotá,Montería,CargaSegura,Frágil,3247.63,1386,2052000.0,8,8,Entregado,3.2,0,December,0
ENV-1151,2024-02-28,Bogotá,Bucaramanga,LogiCol Ltda.,Frágil,2403.11,148,1285000.0,3,1,Cancelado,3.2,1,February,2
ENV-1152,2024-12-15,Bogotá,Neiva,LogiCol Ltda.,Seca,2925.16,90,243000.0,12,11,Cancelado,1.1,0,December,1
ENV-1153,2024-10-01,Bogotá,Manizales,LogiCol Ltda.,Seca,3686.74,1357,1061000.0,12,11,Cancelado,4.9,2,October,1
ENV-1154,2024-05-16,Cali,Bucaramanga,LogiCol Ltda.,Frágil,2793.13,951,1284000.0,13,9,Entregado,1.5,0,May,4
ENV-1155,2024-11-24,Bogotá,Ibagué,Rápido Nacional,Seca,2936.81,629,1823000.0,2,11,Entregado,1.9,0,November,0
ENV-1156,2024-06-23,Barranquilla,Neiva,TransCargo S.A.,Frágil,2826.65,1237,338000.0,3,9,Entregado,1.2,2,June,0
ENV-1157,2024-02-27,Cartagena,Pasto,FlexiLog,Frágil,1900.08,791,419000.0,5,5,Cancelado,3.6,0,February,0
ENV-1158,2024-05-30,Bogotá,Bucaramanga,LogiCol Ltda.,General,1693.86,102,718000.0,11,10,Entregado,1.9,1,May,1
ENV-1159,2024-08-10,Cali,Manizales,CargaSegura,Refrigerada,4499.24,894,725000.0,8,4,Entregado,1.7,1,August,4
